"","country","sex","bc_cate","education","datasetname","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion"
"65","Armenia","Men","1965-1969","High","DHS",499,32,22,6.4,68.8
"66","Armenia","Men","1970-1974","Low","DHS",1,NA,NA,NA,NA
"67","Armenia","Men","1970-1974","Medium","DHS",34,2,NA,5.9,NA
"68","Armenia","Men","1970-1974","High","DHS",732,49,27,6.7,55.1
"69","Armenia","Men","1975-1979","Low","DHS",1,NA,NA,NA,NA
"70","Armenia","Men","1975-1979","Medium","DHS",53,5,3,9.4,60
"71","Armenia","Men","1975-1979","High","DHS",802,74,54,9.2,73
"72","Armenia","Men","1980-1984","Medium","DHS",16,1,1,6.2,100
"73","Armenia","Men","1980-1984","High","DHS",203,22,19,10.8,86.4
"74","Armenia","Women","1965-1969","Medium","DHS",21,1,1,4.8,100
"75","Armenia","Women","1965-1969","High","DHS",218,11,8,5,72.7
"76","Armenia","Women","1970-1974","Medium","DHS",26,3,NA,11.5,NA
"77","Armenia","Women","1970-1974","High","DHS",316,28,19,8.9,67.9
"78","Armenia","Women","1975-1979","Low","DHS",1,NA,NA,NA,NA
"79","Armenia","Women","1975-1979","Medium","DHS",50,7,7,14,100
"80","Armenia","Women","1975-1979","High","DHS",334,42,30,12.6,71.4
"81","Armenia","Women","1980-1984","Low","DHS",2,1,1,50,100
"82","Armenia","Women","1980-1984","Medium","DHS",11,2,2,18.2,100
"83","Armenia","Women","1980-1984","High","DHS",69,12,9,17.4,75
"84","Austria","Men","1960-1964","Low","GGS",15,2,1,13.3,50
"85","Austria","Men","1960-1964","Medium","GGS",102,23,14,22.5,60.9
"86","Austria","Men","1960-1964","High","GGS",27,5,3,18.5,60
"87","Austria","Men","1965-1969","Low","GGS",39,14,6,35.9,42.9
"88","Austria","Men","1965-1969","Medium","GGS",325,68,36,20.9,52.9
"89","Austria","Men","1965-1969","High","GGS",97,30,16,30.9,53.3
"90","Austria","Men","1970-1974","Low","GGS",14,5,5,35.7,100
"91","Austria","Men","1970-1974","Medium","GGS",219,79,38,36.1,48.1
"92","Austria","Men","1970-1974","High","GGS",68,25,16,36.8,64
"93","Austria","Women","1960-1964","Low","GGS",44,6,4,13.6,66.7
"94","Austria","Women","1960-1964","Medium","GGS",127,15,9,11.8,60
"95","Austria","Women","1960-1964","High","GGS",32,10,8,31.2,80
