"","X","country","sex","bc_cate","education","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion","continent"
"499",818,"France","Men","1970-1979","Medium",146,32,11,21.9,34.4,"Europe & North America"
"500",825,"France","Women","1920-1929","Low",252,38,13,15.1,34.2,"Europe & North America"
"501",826,"France","Women","1920-1929","Medium",58,14,5,24.1,35.7,"Europe & North America"
"502",828,"France","Women","1930-1939","High",86,19,12,22.1,63.2,"Europe & North America"
"503",829,"France","Women","1930-1939","Low",650,70,25,10.8,35.7,"Europe & North America"
"504",830,"France","Women","1930-1939","Medium",188,28,10,14.9,35.7,"Europe & North America"
"505",831,"France","Women","1940-1949","High",209,50,15,23.9,30,"Europe & North America"
"506",832,"France","Women","1940-1949","Low",559,49,18,8.8,36.7,"Europe & North America"
"507",833,"France","Women","1940-1949","Medium",433,61,21,14.1,34.4,"Europe & North America"
"508",834,"France","Women","1950-1959","High",369,66,19,17.9,28.8,"Europe & North America"
"509",835,"France","Women","1950-1959","Low",523,56,17,10.7,30.4,"Europe & North America"
"510",836,"France","Women","1950-1959","Medium",573,69,31,12,44.9,"Europe & North America"
"511",837,"France","Women","1960-1969","High",500,105,35,21,33.3,"Europe & North America"
"512",838,"France","Women","1960-1969","Low",297,27,9,9.1,33.3,"Europe & North America"
"513",839,"France","Women","1960-1969","Medium",675,94,30,13.9,31.9,"Europe & North America"
"514",840,"France","Women","1970-1979","High",156,23,5,14.7,21.7,"Europe & North America"
"515",842,"France","Women","1970-1979","Medium",116,16,4,13.8,25,"Europe & North America"
"516",846,"Gabon","Men","1960-1969","High",465,21,4,4.5,19,"Africa"
"517",847,"Gabon","Men","1960-1969","Low",767,34,3,4.4,8.8,"Africa"
"518",848,"Gabon","Men","1970-1979","High",637,33,10,5.2,30.3,"Africa"
"519",849,"Gabon","Men","1970-1979","Low",749,29,6,3.9,20.7,"Africa"
"520",851,"Gabon","Women","1950-1959","High",216,4,2,1.9,50,"Africa"
