"","x","country","sex","bc_cate","education","datasetname","total_n","childless_n","never_in_union_n","prop_childless","prop_neverinunion","hdi","iso3","iso2","continent","year","life_exp","pop","gdp_percap","small_cases","small_cases_n","cont_hdi"
"53",1520,"Cambodia","Men","1960-1969","All","DHS",577.483252745122,16.6236121505499,0.208885997533798,0.0287863103761502,0.0125656202540125,0.593,"KHM","KH","Asia",1992,55.803,10150094,682.3031755,1,2,0.66425
"54",1522,"Cambodia","Women","1960-1969","All","DHS",1988.53920118511,134.872080519795,81.6016076505184,0.0678247028971897,0.605029649843222,0.593,"KHM","KH","Asia",1992,55.803,10150094,682.3031755,1,2,0.66425
"55",1961,"Timor-Leste","Men","1960-1969","All","DHS",715.850519388914,60.1359626799822,32.428961455822,0.0840063128421242,0.539260702092607,0.607,"TLS","TL","Asia",1992,49.156,796343,2577.986234,1,2,0.66425
"56",1964,"Timor-Leste","Women","1960-1969","All","DHS",612.837151899934,41.3580051660538,28.9178512245417,0.0674861258620412,0.699208076125421,0.607,"TLS","TL","Asia",1992,49.156,796343,2577.986234,1,2,0.66425
"57",1700,"India","Men","1960-1969","All","DHS",16751.7116256306,1186.60566491843,239.926552519435,0.0708348908718611,0.20219569113209,0.633,"IND","IN","Asia",1992,60.223,872000000,1164.406809,1,2,0.66425
"58",1703,"India","Women","1960-1969","All","DHS",54201.0236464499,1893.64834691025,401.692459995742,0.0349375015361778,0.212126216914117,0.633,"IND","IN","Asia",1992,60.223,872000000,1164.406809,1,2,0.66425
"59",1860,"Philippines","Men","1960-1969","All","DHS",945.581382274628,124.130945682526,75.3645468652248,0.131274735320957,0.607137458357686,0.699,"PHL","PH","Asia",1992,66.458,67185766,2279.324017,1,2,0.66425
"60",1862,"Philippines","Women","1960-1969","All","DHS",3004.21762415767,277.575754523277,178.651304394007,0.0923953552136904,0.643612784916435,0.699,"PHL","PH","Asia",1992,66.458,67185766,2279.324017,1,2,0.66425
"61",1706,"Indonesia","Men","1960-1969","All","DHS",2405.34378487617,49.3289200365543,0,0.0205080539200736,0,0.705,"IDN","ID","Asia",1992,62.681,184816000,2383.140898,1,2,0.66425
"62",1709,"Indonesia","Women","1960-1969","All","DHS",2934.92660508305,166.283376865089,59.2843899801373,0.0566567411181935,0.356526257150988,0.705,"IDN","ID","Asia",1992,62.681,184816000,2383.140898,1,2,0.66425
"63",1459,"Azerbaijan","Men","1960-1969","All","DHS",620.665054511279,33.2251588329673,9.84027204662561,0.0535315442547821,0.296169300381544,0.745,"AZE","AZ","Asia",1992,65.623,7413618,3455.542969,1,2,0.66425
"64",1462,"Azerbaijan","Women","1960-1969","All","DHS",2459.2785618566,257.52545324713,156.873864471912,0.104715853356894,0.609158677303135,0.745,"AZE","AZ","Asia",1992,65.623,7413618,3455.542969,1,2,0.66425
"65",1778,"Maldives","Men","1960-1969","All","DHS",209.693635970354,17.8851990103722,6.59121704101562,0.0852920448806599,0.368529141732958,0.747,"MDV","MV","Asia",1992,60.989,232026,2261.799787,1,2,0.66425
"66",1781,"Maldives","Women","1960-1969","All","DHS",427.631673961878,20.5585948526859,1.55432403087616,0.048075472666037,0.0756045849443399,0.747,"MDV","MV","Asia",1992,60.989,232026,2261.799787,1,2,0.66425
"67",1676,"Haiti","Men","1960-1969","All","DHS",1908.81161041558,61.2721250504255,28.7074591219425,0.0320996187974179,0.468523967437345,0.535,"HTI","HT","Americas",1992,55.089,6326682,1456.309517,1,2,0.691555555555556
"68",1680,"Haiti","Women","1960-1969","All","DHS",1207.19438187778,23.0098567008972,7.36207586526871,0.019060606184321,0.319953138386196,0.535,"HTI","HT","Americas",1992,55.089,6326682,1456.309517,1,2,0.691555555555556
"69",1684,"Honduras","Men","1960-1969","All","DHS",1129.77545271069,70.6702416539192,31.3170469105244,0.0625524669387699,0.4431433397934,0.621,"HND","HN","Americas",1992,66.399,5077347,3081.694603,1,2,0.691555555555556
"70",1686,"Honduras","Women","1960-1969","All","DHS",3107.07364629954,139.872022077441,81.5007162541151,0.045017285716425,0.58268061792223,0.621,"HND","HN","Americas",1992,66.399,5077347,3081.694603,1,2,0.691555555555556
"71",1656,"Guatemala","Men","1960-1969","All","DHS",1460.4513810873,73.3021747469902,48.5064168870449,0.0501914515582279,0.661732302683647,0.627,"GTM","GT","Americas",1992,63.373,8486949,4439.45084,1,2,0.691555555555556
"72",1659,"Guatemala","Women","1960-1969","All","DHS",2023.41427991539,96.5149848759174,64.6419908702374,0.0476990727177992,0.669761187377723,0.627,"GTM","GT","Americas",1992,63.373,8486949,4439.45084,1,2,0.691555555555556
"73",1485,"Bolivia","Men","1960-1969","All","DHS",1157.2001610212,77.7707379199564,52.4851768352091,0.067205951519507,0.674870500640333,0.692,"BOL","BO","Americas",1992,59.957,6893451,2961.699694,1,2,0.691555555555556
"74",1488,"Bolivia","Women","1960-1969","All","DHS",3640.7520195134,144.129836022854,79.106610044837,0.0395879299799489,0.548856588113327,0.692,"BOL","BO","Americas",1992,59.957,6893451,2961.699694,1,2,0.691555555555556
"75",1670,"Guyana","Men","1960-1969","All","DHS",882.327027861029,113.131522335112,54.3787377178669,0.128219490917523,0.48066831061275,0.714,"GUY","GY","Americas",1992,62.531,747460,2234.654246,1,2,0.691555555555556
"76",1673,"Guyana","Women","1960-1969","All","DHS",1243.52012580261,93.0060611218214,40.3722960054874,0.0747925660324895,0.434082419129726,0.714,"GUY","GY","Americas",1992,62.531,747460,2234.654246,1,2,0.691555555555556
"77",1547,"Colombia","Men","1960-1969","All","DHS",6041.13142576977,664.162507160101,326.096978453919,0.10994008578045,0.490989742628322,0.752,"COL","CO","Americas",1992,68.421,34202721,5444.648617,1,2,0.691555555555556
"78",1550,"Colombia","Women","1960-1969","All","DHS",3909.83287748066,215.319167884998,107.968870475888,0.0550711947626112,0.501436409663046,0.752,"COL","CO","Americas",1992,68.421,34202721,5444.648617,1,2,0.691555555555556
"79",1493,"Brazil","Men","1960-1969","All","DHS",67.9916384220123,11.0489511489868,7.00387915968895,0.162504557992968,0.633895386561756,0.754,"BRA","BR","Americas",1992,67.057,155975974,6950.283021,1,2,0.691555555555556
"80",1496,"Brazil","Women","1960-1969","All","DHS",464.168226718903,41.7739008069038,26.9370047450066,0.0899973294212613,0.644828570583354,0.754,"BRA","BR","Americas",1992,67.057,155975974,6950.283021,1,2,0.691555555555556
"81",1854,"Peru","Men","1960-1969","All","DHS",86.8767058998346,18.1664501130581,11.3654019534588,0.209106111067371,0.625625913853655,0.762,"PER","PE","Americas",1992,66.458,22430449,4446.380924,1,2,0.691555555555556
"82",1857,"Peru","Women","1960-1969","All","DHS",1345.13033011556,100.815738618374,84.9810955673456,0.0749486769878373,0.842934810893282,0.762,"PER","PE","Americas",1992,66.458,22430449,4446.380924,1,2,0.691555555555556
"83",1582,"Dominican Republic","Men","1960-1969","All","DHS",462.167645782232,49.4690184369683,18.2805497050285,0.107036957018574,0.369535322968272,0.767,"DOM","DO","Americas",1992,68.457,7351181,3044.214214,1,2,0.691555555555556
"84",1584,"Dominican Republic","Women","1960-1969","All","DHS",4526.13369454443,218.850705333054,86.3696463629603,0.0483526824664604,0.394650984704482,0.767,"DOM","DO","Americas",1992,68.457,7351181,3044.214214,1,2,0.691555555555556
"85",1447,"Armenia","Men","1960-1969","All","DHS",238.880266919732,10.2541571259499,7.45313608646393,0.0429259279478094,0.726840440898111,0.759,"ARM","AM","FSU",1992,68.663,3378331,1442.937796,1,2,0.807
"86",1450,"Armenia","Women","1960-1969","All","DHS",533.484643936157,40.3124106675386,30.7347857058048,0.075564331843004,0.762414978337028,0.759,"ARM","AM","FSU",1992,68.663,3378331,1442.937796,1,2,0.807
"87",1988,"Ukraine","Men","1960-1969","All","DHS",863.085322827101,102.359382808208,30.9069300591946,0.11859706114909,0.301945256128647,0.773,"UKR","UA","FSU",1992,69,51869109,6650.453507,1,2,0.807
"88",1991,"Ukraine","Women","1960-1969","All","DHS",2045.27956673503,119.545847177505,29.5686569213867,0.0584496364809146,0.247341564926821,0.773,"UKR","UA","FSU",1992,69,51869109,6650.453507,1,2,0.807
"89",1630,"Georgia","Men","1960-1969","All","GGS",1011.41993547761,144.343665607324,104.529069896849,0.142713882279928,0.724168043377895,0.802,"GEO","GE","FSU",1992,70.465,5355289,2393.030934,1,2,0.807
"90",1636,"Georgia","Women","1960-1969","All","GGS",1159.08144560817,156.511437542589,124.171857810636,0.135030577993997,0.793372419040283,0.802,"GEO","GE","FSU",1992,70.465,5355289,2393.030934,1,2,0.807
"91",1728,"Kazakhstan","Men","1960-1969","All","DHS",204.768624812365,12.6945637762547,6.86634692549706,0.0619946722203515,0.540888765184718,0.811,"KAZ","KZ","FSU",1992,65.359,16542063,5919.908968,1,2,0.807
"92",1731,"Kazakhstan","Women","1960-1969","All","DHS",699.558806359768,32.5048139691353,18.9532950818539,0.0464647341633475,0.583091941392154,0.811,"KAZ","KZ","FSU",1992,65.359,16542063,5919.908968,1,2,0.807
"93",1898,"Russia","Men","1960-1969","All","GGS",790.583117187023,100.311530768871,38.9336990118027,0.126882965988181,0.388127852435133,0.822,"RUS","RU","FSU",1992,67.98,148401650,10277.91045,1,2,0.807
"94",1903,"Russia","Women","1960-1969","All","GGS",1184.95859086514,74.2030504345894,27.9406549930573,0.0626207962089322,0.376543212568966,0.822,"RUS","RU","FSU",1992,67.98,148401650,10277.91045,1,2,0.807
