"","country","sex","bc_cate","edu_cate","TotalN","ChildlessN","NeverInUnionN"
"318","France","Women","1925-1929","High",11,5,3
"319","France","Women","1930-1934","Low",261,30,21
"320","France","Women","1930-1934","Medium",41,11,4
"321","France","Women","1930-1934","High",26,5,4
"322","France","Women","1935-1939","Low",245,27,15
"323","France","Women","1935-1939","Medium",87,7,5
"324","France","Women","1935-1939","High",43,9,7
"325","France","Women","1940-1944","Low",189,17,12
"326","France","Women","1940-1944","Medium",128,22,13
"327","France","Women","1940-1944","High",50,10,5
"328","France","Women","1945-1949","Low",230,19,13
"329","France","Women","1945-1949","Medium",189,28,20
"330","France","Women","1945-1949","High",95,27,15
"331","France","Women","1950-1954","Low",215,24,16
"332","France","Women","1950-1954","Medium",207,26,20
"333","France","Women","1950-1954","High",126,21,11
"334","France","Women","1955-1959","Low",178,19,10
"335","France","Women","1955-1959","Medium",202,30,15
"336","France","Women","1955-1959","High",160,32,16
"337","France","Women","1960-1964","Low",134,9,5
"338","France","Women","1960-1964","Medium",215,38,23
"339","France","Women","1960-1964","High",172,31,12
"340","France","Women","1965-1969","Low",108,14,9
"341","France","Women","1965-1969","Medium",272,34,24
"342","France","Women","1965-1969","High",193,43,23
"343","France","Women","1970-1974","Low",17,3,3
"344","France","Women","1970-1974","Medium",40,3,2
"345","France","Women","1970-1974","High",46,7,4
"346","Hungary","Men","1925-1929","Low",81,5,2
"347","Hungary","Men","1925-1929","Medium",74,14,7
"348","Hungary","Men","1925-1929","High",36,2,1
"349","Hungary","Men","1930-1934","Low",140,12,8
"350","Hungary","Men","1930-1934","Medium",135,22,17
"351","Hungary","Men","1930-1934","High",53,5,5
"352","Hungary","Men","1935-1939","Low",131,15,8
"353","Hungary","Men","1935-1939","Medium",187,11,7
"354","Hungary","Men","1935-1939","High",56,7,1
"355","Hungary","Men","1940-1944","Low",114,12,8
"356","Hungary","Men","1940-1944","Medium",269,29,19
"357","Hungary","Men","1940-1944","High",100,11,8
"358","Hungary","Men","1945-1949","Low",90,13,9
"359","Hungary","Men","1945-1949","Medium",348,31,19
"360","Hungary","Men","1945-1949","High",92,10,8
"361","Hungary","Men","1950-1954","Low",101,14,12
"362","Hungary","Men","1950-1954","Medium",425,42,28
"363","Hungary","Men","1950-1954","High",92,3,2
"364","Hungary","Men","1955-1959","Low",98,27,24
"365","Hungary","Men","1955-1959","Medium",411,54,36
"366","Hungary","Men","1955-1959","High",83,7,6
"367","Hungary","Men","1960-1964","Low",58,11,9
"368","Hungary","Men","1960-1964","Medium",338,63,42
"369","Hungary","Men","1960-1964","High",67,11,5
"370","Hungary","Men","1965-1969","Low",67,19,17
"371","Hungary","Men","1965-1969","Medium",358,72,54
"372","Hungary","Men","1965-1969","High",88,24,18
"373","Hungary","Men","1970-1974","Low",1,NA,NA
"374","Hungary","Men","1970-1974","Medium",3,NA,NA
"375","Hungary","Women","1925-1929","Low",254,38,11
"376","Hungary","Women","1925-1929","Medium",91,20,9
"377","Hungary","Women","1925-1929","High",15,3,NA
"378","Hungary","Women","1930-1934","Low",353,31,15
"379","Hungary","Women","1930-1934","Medium",126,19,7
"380","Hungary","Women","1930-1934","High",36,5,4
"381","Hungary","Women","1935-1939","Low",333,27,9
"382","Hungary","Women","1935-1939","Medium",225,27,12
"383","Hungary","Women","1935-1939","High",50,10,5
"384","Hungary","Women","1940-1944","Low",277,22,9
"385","Hungary","Women","1940-1944","Medium",288,28,10
"386","Hungary","Women","1940-1944","High",80,11,6
"387","Hungary","Women","1945-1949","Low",235,16,8
"388","Hungary","Women","1945-1949","Medium",361,35,21
"389","Hungary","Women","1945-1949","High",99,12,7
"390","Hungary","Women","1950-1954","Low",224,12,9
"391","Hungary","Women","1950-1954","Medium",419,39,23
"392","Hungary","Women","1950-1954","High",126,13,6
"393","Hungary","Women","1955-1959","Low",174,11,6
"394","Hungary","Women","1955-1959","Medium",405,30,21
"395","Hungary","Women","1955-1959","High",130,15,10
"396","Hungary","Women","1960-1964","Low",114,6,4
"397","Hungary","Women","1960-1964","Medium",347,18,10
"398","Hungary","Women","1960-1964","High",123,10,6
"399","Hungary","Women","1965-1969","Low",83,11,8
"400","Hungary","Women","1965-1969","Medium",373,34,21
"401","Hungary","Women","1965-1969","High",132,18,11
"402","Hungary","Women","1970-1974","Medium",1,NA,NA
"403","Hungary","Women","1970-1974","High",1,NA,NA
"404","Italy","Men","1935-1939","Low",89,11,10
"405","Italy","Men","1935-1939","Medium",23,2,1
"406","Italy","Men","1935-1939","High",6,1,1
"407","Italy","Men","1940-1944","Low",329,55,50
"408","Italy","Men","1940-1944","Medium",103,15,12
"409","Italy","Men","1940-1944","High",22,4,4
"410","Italy","Men","1945-1949","Low",323,59,50
"411","Italy","Men","1945-1949","Medium",140,28,23
"412","Italy","Men","1945-1949","High",59,11,9
"413","Italy","Men","1950-1954","Low",243,61,54
"414","Italy","Men","1950-1954","Medium",167,45,37
"415","Italy","Men","1950-1954","High",61,14,11
"416","Italy","Men","1955-1959","Low",273,56,52
"417","Italy","Men","1955-1959","Medium",219,45,34
