country,sex,bc_cate,edu2,total_n,childless_n,never_in_union_n
Canada,Women,1920-1929,Low,32602.6743850708,4471.736953735352,1005.3388671875
Canada,Women,1920-1929,NA,174468.22289276123,35727.65364074707,11069.210540771484
Canada,Women,1930-1939,High,371427.16229248047,63891.2141418457,25909.994117736816
Canada,Women,1930-1939,Low,340907.3430213928,34748.95161819458,8326.136474609375
Canada,Women,1930-1939,NA,1205742.9058532715,128673.48761749268,33033.74124908447
Canada,Women,1940-1949,High,890335.0102729797,175878.79695892334,45026.07995605469
Canada,Women,1940-1949,Low,926026.4854621887,121989.34200286865,24148.340785980225
Canada,Women,1940-1949,NA,1516319.6519470215,159572.0012435913,42023.21080780029
Canada,Women,1950-1959,High,1648656.623096466,332574.7455673218,63217.17588043213
Canada,Women,1950-1959,Low,1506666.9022483826,274657.39277648926,81152.87970733643
