country,sex,bc_cate,edu2,total_n,childless_n,never_in_union_n
Bolivia,Men,1970-1979,High,226.24317535758018,21.402201004326344,15.710559159517288
Bolivia,Men,1970-1979,Low,208.06832417845726,8.756864909082651,5.758992854505777
Bolivia,Women,1950-1959,High,192.23952604830265,11.115499891340733,6.775336027145386
Bolivia,Women,1950-1959,Low,326.8415380604565,17.66924899816513,6.418672025203705
Bolivia,Women,1960-1969,High,1448.5380772426724,88.72920024394989,56.131888166069984
Bolivia,Women,1960-1969,Low,2192.213942270726,55.40063577890396,22.974721878767014
Bolivia,Women,1970-1979,High,599.6125648058951,62.8314500823617,40.12579217553139
Bolivia,Women,1970-1979,Low,831.8013711422682,19.392517119646072,12.752359092235565
Brazil,Men,1930-1939,High,43.63776236772537,0,NA
Brazil,Men,1930-1939,Low,65.76624363660812,5.2648850083351135,1.1629780530929565
Brazil,Men,1940-1949,High,135.3435479104519,11.548897057771683,2.3705670833587646
Brazil,Men,1940-1949,Low,300.15987715125084,18.59540605545044,9.82391706109047
Brazil,Men,1950-1959,High,249.163251131773,26.783413350582123,8.51220116019249
Brazil,Men,1950-1959,Low,321.13866659998894,18.627424210309982,13.669044137001038
Brazil,Men,1960-1969,High,32.08096605539322,3.7692430317401886,2.2184790074825287
Brazil,Men,1960-1969,Low,35.91067236661911,7.279708117246628,4.785400152206421
Brazil,Women,1940-1949,High,346.23640090227127,43.75800475478172,24.466265827417374
Brazil,Women,1940-1949,Low,518.0889470279217,30.83592689037323,13.961378008127213
Brazil,Women,1950-1959,High,1237.293933749199,165.06400513648987,114.32405829429626
Brazil,Women,1950-1959,Low,1833.8147394359112,109.99084863066673,56.332867711782455
Brazil,Women,1950-1959,NA,1.5926729440689087,0,NA
Brazil,Women,1960-1969,High,196.35676804184914,29.664691746234894,19.364300787448883
Brazil,Women,1960-1969,Low,267.81145867705345,12.109209060668945,7.572703957557678
Bulgaria,Men,1910-1919,High,0,0,NA
Bulgaria,Men,1920-1929,High,137.91881073214768,15.77226448059082,5.200726628303528
Bulgaria,Men,1920-1929,Low,126.15069383705789,12.188952386379242,3.739590644836426
Bulgaria,Men,1920-1929,NA,19.646536707878113,3.425785779953003,3.425785779953003
Bulgaria,Men,1930-1939,High,396.4806193624815,24.687096893787384,9.983867287635803
Bulgaria,Men,1930-1939,Low,372.2136685794638,19.31751713739629,8.834540223944142
Bulgaria,Men,1930-1939,NA,30.496775868271165,2.4265036582946777,0
Bulgaria,Men,1940-1949,High,544.4970108613254,47.81326208118193,23.005578938628144
Bulgaria,Men,1940-1949,Low,495.1940303381432,44.12729245778655,21.228432451692356
Bulgaria,Men,1940-1949,NA,13.438943328288484,0,NA
Bulgaria,Men,1950-1959,High,526.441314210669,64.65341874277362,39.883458962633185
Bulgaria,Men,1950-1959,Low,504.95229600502853,53.44403999891283,32.15368523323049
Bulgaria,Men,1950-1959,NA,18.90352425454942,4.7742680311203,4.7742680311203
Bulgaria,Men,1960-1969,High,728.4282878139463,160.1182727838779,113.62576796159514
Bulgaria,Men,1960-1969,Low,617.5343436206857,81.02958013019702,51.60343372854567
Bulgaria,Men,1960-1969,NA,16.381036148661675,0.6548365359630566,0
Bulgaria,Men,1970-1979,High,16.60559753097559,5.255880692606272,3.349214893459788
Bulgaria,Men,1970-1979,Low,43.140414602559936,13.885616585413116,10.214983831758335
Bulgaria,Men,1970-1979,NA,0.8158088772828265,0.48948529358085935,0
Bulgaria,Men,1980-1989,High,3.921204567015529,2.3280559378427004,1.3780237941414928
Bulgaria,Men,1980-1989,Low,11.7138731179954,5.190668064584672,4.491210013068352
